Year,Country,Amount (million),Comment,Source
-377,Greece
1979,United States,,Delay in payment
1998,Ukraine,"$1,270"
1998,Venezuela,$270
1998,Russia,"$72,709"
1999,Pakistan,,Rectified quickly
2000,Ukraine,"$1,006"
2000,Peru,"$4,870",Rectified w/in 30 days
2001,Argentina,"$82,260"
2001,Botswana 
2002,Moldova,$145
2003,Uruguay,"$5,700"
2005,Dominican Republic,"$1,620"
2006,Belize,$242
2008,Ecuador,"$3,210",Default on the basis of a moral objection
2008,Iceland,€ 8500
